AREACD,AREANM,Geography,Period,Observation,Measure,Unit,Observation Status
E06000031,Peterborough,County or Unitary Authority,2023-05,100.0,Percentage,%,
E06000033,Southend-on-Sea,County or Unitary Authority,2023-05,100.0,Percentage,%,
E06000034,Thurrock,County or Unitary Authority,2023-05,100.0,Percentage,%,
E07000008,Cambridge,Local Authority District,2023-05,100.0,Percentage,%,
E07000009,East Cambridgeshire,Local Authority District,2023-05,100.0,Percentage,%,
E07000010,Fenland,Local Authority District,2023-05,100.0,Percentage,%,
E07000011,Huntingdonshire,Local Authority District,2023-05,100.0,Percentage,%,
E07000012,South Cambridgeshire,Local Authority District,2023-05,100.0,Percentage,%,
E07000066,Basildon,Local Authority District,2023-05,100.0,Percentage,%,
E07000067,Braintree,Local Authority District,2023-05,99.93,Percentage,%,
E07000068,Brentwood,Local Authority District,2023-05,100.0,Percentage,%,
E07000069,Castle Point,Local Authority District,2023-05,100.0,Percentage,%,
E07000070,Chelmsford,Local Authority District,2023-05,100.0,Percentage,%,
E07000071,Colchester,Local Authority District,2023-05,99.95,Percentage,%,
E07000072,Epping Forest,Local Authority District,2023-05,100.0,Percentage,%,
E07000073,Harlow,Local Authority District,2023-05,100.0,Percentage,%,
E07000074,Maldon,Local Authority District,2023-05,99.99,Percentage,%,
E07000075,Rochford,Local Authority District,2023-05,100.0,Percentage,%,
E07000076,Tendring,Local Authority District,2023-05,100.0,Percentage,%,
E07000077,Uttlesford,Local Authority District,2023-05,99.97,Percentage,%,
E07000095,Broxbourne,Local Authority District,2023-05,100.0,Percentage,%,
E07000096,Dacorum,Local Authority District,2023-05,99.93,Percentage,%,
E07000242,East Hertfordshire,Local Authority District,2023-05,99.92,Percentage,%,
E07000098,Hertsmere,Local Authority District,2023-05,100.0,Percentage,%,
E07000099,North Hertfordshire,Local Authority District,2023-05,99.99,Percentage,%,
E07000240,St Albans,Local Authority District,2023-05,100.0,Percentage,%,
E07000243,Stevenage,Local Authority District,2023-05,100.0,Percentage,%,
E07000102,Three Rivers,Local Authority District,2023-05,99.95,Percentage,%,
E07000103,Watford,Local Authority District,2023-05,100.0,Percentage,%,
E07000241,Welwyn Hatfield,Local Authority District,2023-05,99.99,Percentage,%,
E07000143,Breckland,Local Authority District,2023-05,99.94,Percentage,%,
E07000144,Broadland,Local Authority District,2023-05,99.99,Percentage,%,
E07000145,Great Yarmouth,Local Authority District,2023-05,100.0,Percentage,%,
E07000146,King's Lynn and West Norfolk,Local Authority District,2023-05,100.0,Percentage,%,
E07000147,North Norfolk,Local Authority District,2023-05,99.83,Percentage,%,
E07000148,Norwich,Local Authority District,2023-05,100.0,Percentage,%,
E07000149,South Norfolk,Local Authority District,2023-05,99.99,Percentage,%,
E07000200,Babergh,Local Authority District,2023-05,99.93,Percentage,%,
E07000244,East Suffolk,Local Authority District,2023-05,99.97,Percentage,%,
E07000202,Ipswich,Local Authority District,2023-05,100.0,Percentage,%,
E07000203,Mid Suffolk,Local Authority District,2023-05,100.0,Percentage,%,
E07000245,West Suffolk,Local Authority District,2023-05,99.81,Percentage,%,
E09000007,Camden,Local Authority District,2023-05,100.0,Percentage,%,
E09000001,City of London,Local Authority District,2023-05,100.0,Percentage,%,
E09000012,Hackney,Local Authority District,2023-05,100.0,Percentage,%,
E09000013,Hammersmith and Fulham ,Local Authority District,2023-05,100.0,Percentage,%,
E09000014,Haringey,Local Authority District,2023-05,100.0,Percentage,%,
E09000019,Islington,Local Authority District,2023-05,100.0,Percentage,%,
E09000020,Kensington and Chelsea,Local Authority District,2023-05,100.0,Percentage,%,
E09000022,Lambeth ,Local Authority District,2023-05,100.0,Percentage,%,
E09000023,Lewisham ,Local Authority District,2023-05,100.0,Percentage,%,
E09000025,Newham ,Local Authority District,2023-05,100.0,Percentage,%,
E09000028,Southwark,Local Authority District,2023-05,100.0,Percentage,%,
E09000030,Tower Hamlets,Local Authority District,2023-05,100.0,Percentage,%,
E09000032,Wandsworth,Local Authority District,2023-05,100.0,Percentage,%,
E09000033,Westminster,Local Authority District,2023-05,100.0,Percentage,%,
E09000002,Barking and Dagenham,Local Authority District,2023-05,100.0,Percentage,%,
E09000003,Barnet,Local Authority District,2023-05,100.0,Percentage,%,
E09000004,Bexley,Local Authority District,2023-05,100.0,Percentage,%,
E09000005,Brent ,Local Authority District,2023-05,100.0,Percentage,%,
E09000006,Bromley,Local Authority District,2023-05,99.94,Percentage,%,
E09000008,Croydon,Local Authority District,2023-05,100.0,Percentage,%,
E09000009,Ealing,Local Authority District,2023-05,100.0,Percentage,%,
E09000010,Enfield,Local Authority District,2023-05,100.0,Percentage,%,
E09000011,Greenwich,Local Authority District,2023-05,100.0,Percentage,%,
E09000015,Harrow,Local Authority District,2023-05,100.0,Percentage,%,
E09000016,Havering,Local Authority District,2023-05,100.0,Percentage,%,
E09000017,Hillingdon,Local Authority District,2023-05,100.0,Percentage,%,
E09000018,Hounslow,Local Authority District,2023-05,100.0,Percentage,%,
E09000021,Kingston upon Thames,Local Authority District,2023-05,100.0,Percentage,%,
E09000024,Merton,Local Authority District,2023-05,100.0,Percentage,%,
E09000026,Redbridge,Local Authority District,2023-05,100.0,Percentage,%,
E09000027,Richmond upon Thames,Local Authority District,2023-05,100.0,Percentage,%,
E09000029,Sutton,Local Authority District,2023-05,100.0,Percentage,%,
E09000031,Waltham Forest,Local Authority District,2023-05,100.0,Percentage,%,
E06000036,Bracknell Forest,County or Unitary Authority,2023-05,100.0,Percentage,%,
E06000043,Brighton and Hove,County or Unitary Authority,2023-05,100.0,Percentage,%,
E06000060,Buckinghamshire,County or Unitary Authority,2023-05,99.71,Percentage,%,
E06000046,Isle of Wight,County or Unitary Authority,2023-05,99.93,Percentage,%,
E06000035,Medway,County or Unitary Authority,2023-05,99.82,Percentage,%,
E06000042,Milton Keynes,County or Unitary Authority,2023-05,100.0,Percentage,%,
E06000044,Portsmouth,County or Unitary Authority,2023-05,100.0,Percentage,%,
E06000038,Reading,County or Unitary Authority,2023-05,100.0,Percentage,%,
E06000039,Slough,County or Unitary Authority,2023-05,100.0,Percentage,%,
E06000045,Southampton,County or Unitary Authority,2023-05,100.0,Percentage,%,
E06000037,West Berkshire,County or Unitary Authority,2023-05,99.82,Percentage,%,
E06000040,Windsor and Maidenhead,County or Unitary Authority,2023-05,100.0,Percentage,%,
E06000041,Wokingham,County or Unitary Authority,2023-05,100.0,Percentage,%,
E07000061,Eastbourne,Local Authority District,2023-05,99.86,Percentage,%,
E07000062,Hastings,Local Authority District,2023-05,99.66,Percentage,%,
E07000063,Lewes,Local Authority District,2023-05,99.9,Percentage,%,
E07000064,Rother,Local Authority District,2023-05,99.66,Percentage,%,
E07000065,Wealden,Local Authority District,2023-05,99.65,Percentage,%,
E07000084,Basingstoke and Deane,Local Authority District,2023-05,99.89,Percentage,%,
E07000085,East Hampshire,Local Authority District,2023-05,99.82,Percentage,%,
E07000086,Eastleigh,Local Authority District,2023-05,100.0,Percentage,%,
E07000087,Fareham,Local Authority District,2023-05,100.0,Percentage,%,
E07000088,Gosport,Local Authority District,2023-05,100.0,Percentage,%,
E07000089,Hart,Local Authority District,2023-05,100.0,Percentage,%,
E07000090,Havant,Local Authority District,2023-05,100.0,Percentage,%,
E07000091,New Forest,Local Authority District,2023-05,98.81,Percentage,%,
E07000092,Rushmoor,Local Authority District,2023-05,100.0,Percentage,%,
E07000093,Test Valley,Local Authority District,2023-05,99.61,Percentage,%,
E07000094,Winchester,Local Authority District,2023-05,98.92,Percentage,%,
E07000105,Ashford,Local Authority District,2023-05,99.68,Percentage,%,
E07000106,Canterbury,Local Authority District,2023-05,99.92,Percentage,%,
