Measure type,Country,Reference Area,Reference Period,LA CO2 Sub-Sector,Local Authority,LA CO2 Sector,Territorial emissions per area,Emissions within the scope of influence of LAs,Territorial emissions per capita,Territorial emissions,Unit of Measure
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000031,http://reference.data.gov.uk/id/year/2006,Industry Gas,Peterborough,Industry,,,,16.9446,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000027,http://reference.data.gov.uk/id/year/2012,LULUCF Net Emissions: Forest land,Torbay,LULUCF,,,,-4.0796,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000057,http://reference.data.gov.uk/id/year/2018,LULUCF Net Emissions: Settlements,Northumberland,LULUCF,,,,65.9676,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000031,http://reference.data.gov.uk/id/year/2006,Domestic Gas,Peterborough,Domestic,,,,202.6108,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000011,http://reference.data.gov.uk/id/year/2010,Large Industrial Installations,East Riding of Yorkshire,Industry,,,,541.2737,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000045,http://reference.data.gov.uk/id/year/2006,Road Transport (A roads),Southampton,Transport,,,,115.9459,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000007,http://reference.data.gov.uk/id/year/2013,Domestic Electricity,Warrington,Domestic,,,,161.4074,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000041,http://reference.data.gov.uk/id/year/2012,Road Transport (A roads),Wokingham,Transport,,,,87.6407,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000019,http://reference.data.gov.uk/id/year/2015,Commercial 'Other Fuels',"Herefordshire, County of",Commercial,,,,2.4532,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000018,http://reference.data.gov.uk/id/year/2013,LULUCF Net Emissions: Settlements,Nottingham,LULUCF,,,,1.282,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000019,http://reference.data.gov.uk/id/year/2015,Road Transport (Motorways),"Herefordshire, County of",Transport,,,,19.0257,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000057,http://reference.data.gov.uk/id/year/2007,LULUCF Net Emissions: Settlements,Northumberland,LULUCF,,,,64.4907,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000015,http://reference.data.gov.uk/id/year/2009,Industry 'Other Fuels',Derby,Industry,,,,59.3126,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000018,http://reference.data.gov.uk/id/year/2007,Road Transport (Minor roads),Nottingham,Transport,,,,190.2166,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000037,http://reference.data.gov.uk/id/year/2006,Large Industrial Installations,West Berkshire,Industry,,,,17.2895,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000056,http://reference.data.gov.uk/id/year/2016,Road Transport (A roads),Central Bedfordshire,Transport,,,,262.2056,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000004,http://reference.data.gov.uk/id/year/2018,LULUCF Net Emissions: Wetlands,Stockton-on-Tees,LULUCF,,,,-0.0032,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000015,http://reference.data.gov.uk/id/year/2009,Domestic 'Other Fuels',Derby,Domestic,,,,8.4708,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
