Year,Section Notation,Industry Section Name,Fuel,Value,Marker
1993,D,Manufacture of gas; distribution of gaseous fuels through mains and steam and air conditioning supply,Coal,0.0,
1994,D,Manufacture of gas; distribution of gaseous fuels through mains and steam and air conditioning supply,Coal,0.0,
1995,D,Manufacture of gas; distribution of gaseous fuels through mains and steam and air conditioning supply,Coal,0.0,
1996,D,Manufacture of gas; distribution of gaseous fuels through mains and steam and air conditioning supply,Coal,0.0,
1997,D,Manufacture of gas; distribution of gaseous fuels through mains and steam and air conditioning supply,Coal,0.0,
1998,D,Manufacture of gas; distribution of gaseous fuels through mains and steam and air conditioning supply,Coal,0.0,
1999,D,Manufacture of gas; distribution of gaseous fuels through mains and steam and air conditioning supply,Coal,0.0,
2000,D,Manufacture of gas; distribution of gaseous fuels through mains and steam and air conditioning supply,Coal,0.0,
2001,D,Manufacture of gas; distribution of gaseous fuels through mains and steam and air conditioning supply,Coal,0.0,
2002,D,Manufacture of gas; distribution of gaseous fuels through mains and steam and air conditioning supply,Coal,0.0,
2003,D,Manufacture of gas; distribution of gaseous fuels through mains and steam and air conditioning supply,Coal,0.0,
2004,D,Manufacture of gas; distribution of gaseous fuels through mains and steam and air conditioning supply,Coal,0.0,
2005,D,Manufacture of gas; distribution of gaseous fuels through mains and steam and air conditioning supply,Coal,0.0,
2006,D,Manufacture of gas; distribution of gaseous fuels through mains and steam and air conditioning supply,Coal,0.0,
2007,D,Manufacture of gas; distribution of gaseous fuels through mains and steam and air conditioning supply,Coal,0.0,
2008,D,Manufacture of gas; distribution of gaseous fuels through mains and steam and air conditioning supply,Coal,0.0,
2009,D,Manufacture of gas; distribution of gaseous fuels through mains and steam and air conditioning supply,Coal,0.0,
2010,D,Manufacture of gas; distribution of gaseous fuels through mains and steam and air conditioning supply,Coal,0.0,
2011,D,Manufacture of gas; distribution of gaseous fuels through mains and steam and air conditioning supply,Coal,0.0,
2012,D,Manufacture of gas; distribution of gaseous fuels through mains and steam and air conditioning supply,Coal,0.0,
2013,D,Manufacture of gas; distribution of gaseous fuels through mains and steam and air conditioning supply,Coal,0.0,
2014,D,Manufacture of gas; distribution of gaseous fuels through mains and steam and air conditioning supply,Coal,0.0,
2015,D,Manufacture of gas; distribution of gaseous fuels through mains and steam and air conditioning supply,Coal,0.0,
2016,D,Manufacture of gas; distribution of gaseous fuels through mains and steam and air conditioning supply,Coal,0.0,
2017,D,Manufacture of gas; distribution of gaseous fuels through mains and steam and air conditioning supply,Coal,0.0,
2018,D,Manufacture of gas; distribution of gaseous fuels through mains and steam and air conditioning supply,Coal,0.0,
2019,D,Manufacture of gas; distribution of gaseous fuels through mains and steam and air conditioning supply,Coal,0.0,
2020,D,Manufacture of gas; distribution of gaseous fuels through mains and steam and air conditioning supply,Coal,0.0,
2021,D,Manufacture of gas; distribution of gaseous fuels through mains and steam and air conditioning supply,Coal,0.0,
1990,E,Natural water; water treatment and supply services,Coal,0.001,
1991,E,Natural water; water treatment and supply services,Coal,0.001,
1992,E,Natural water; water treatment and supply services,Coal,0.001,
1993,E,Natural water; water treatment and supply services,Coal,0.0,
1994,E,Natural water; water treatment and supply services,Coal,0.0,
1995,E,Natural water; water treatment and supply services,Coal,0.0,
1996,E,Natural water; water treatment and supply services,Coal,0.0,
1997,E,Natural water; water treatment and supply services,Coal,0.0,
1998,E,Natural water; water treatment and supply services,Coal,0.003,
1999,E,Natural water; water treatment and supply services,Coal,0.001,
2000,E,Natural water; water treatment and supply services,Coal,0.003,
2001,E,Natural water; water treatment and supply services,Coal,0.001,
2002,E,Natural water; water treatment and supply services,Coal,0.009,
2003,E,Natural water; water treatment and supply services,Coal,0.0,
2004,E,Natural water; water treatment and supply services,Coal,0.0,
2005,E,Natural water; water treatment and supply services,Coal,0.0,
2006,E,Natural water; water treatment and supply services,Coal,0.0,
2007,E,Natural water; water treatment and supply services,Coal,0.0,
2008,E,Natural water; water treatment and supply services,Coal,0.0,
2009,E,Natural water; water treatment and supply services,Coal,0.0,
2010,E,Natural water; water treatment and supply services,Coal,0.0,
2011,E,Natural water; water treatment and supply services,Coal,0.0,
2012,E,Natural water; water treatment and supply services,Coal,0.0,
2013,E,Natural water; water treatment and supply services,Coal,0.0,
2014,E,Natural water; water treatment and supply services,Coal,0.0,
2015,E,Natural water; water treatment and supply services,Coal,0.0,
2016,E,Natural water; water treatment and supply services,Coal,0.0,
2017,E,Natural water; water treatment and supply services,Coal,0.0,
2018,E,Natural water; water treatment and supply services,Coal,0.0,
2019,E,Natural water; water treatment and supply services,Coal,0.0,
2020,E,Natural water; water treatment and supply services,Coal,0.0,
2021,E,Natural water; water treatment and supply services,Coal,0.0,
1990,E,Sewerage services; sewage sludge,Coal,0.0,
1991,E,Sewerage services; sewage sludge,Coal,0.0,
1992,E,Sewerage services; sewage sludge,Coal,0.0,
1993,E,Sewerage services; sewage sludge,Coal,0.0,
1994,E,Sewerage services; sewage sludge,Coal,0.0,
1995,E,Sewerage services; sewage sludge,Coal,0.0,
1996,E,Sewerage services; sewage sludge,Coal,0.0,
1997,E,Sewerage services; sewage sludge,Coal,0.0,
1998,E,Sewerage services; sewage sludge,Coal,0.0,
1999,E,Sewerage services; sewage sludge,Coal,0.0,
2000,E,Sewerage services; sewage sludge,Coal,0.0,
2001,E,Sewerage services; sewage sludge,Coal,0.0,
2002,E,Sewerage services; sewage sludge,Coal,0.0,
2003,E,Sewerage services; sewage sludge,Coal,0.0,
2004,E,Sewerage services; sewage sludge,Coal,0.0,
2005,E,Sewerage services; sewage sludge,Coal,0.0,
2006,E,Sewerage services; sewage sludge,Coal,0.0,
2007,E,Sewerage services; sewage sludge,Coal,0.0,
2008,E,Sewerage services; sewage sludge,Coal,0.0,
2009,E,Sewerage services; sewage sludge,Coal,0.0,
2010,E,Sewerage services; sewage sludge,Coal,0.0,
2011,E,Sewerage services; sewage sludge,Coal,0.0,
2012,E,Sewerage services; sewage sludge,Coal,0.0,
2013,E,Sewerage services; sewage sludge,Coal,0.0,
2014,E,Sewerage services; sewage sludge,Coal,0.0,
2015,E,Sewerage services; sewage sludge,Coal,0.0,
2016,E,Sewerage services; sewage sludge,Coal,0.0,
2017,E,Sewerage services; sewage sludge,Coal,0.0,
2018,E,Sewerage services; sewage sludge,Coal,0.0,
2019,E,Sewerage services; sewage sludge,Coal,0.0,
2020,E,Sewerage services; sewage sludge,Coal,0.0,
2021,E,Sewerage services; sewage sludge,Coal,0.0,
1990,E,"Waste collection, treatment and disposal services; materials recovery services",Coal,0.001,
1991,E,"Waste collection, treatment and disposal services; materials recovery services",Coal,0.002,
1992,E,"Waste collection, treatment and disposal services; materials recovery services",Coal,0.004,
1993,E,"Waste collection, treatment and disposal services; materials recovery services",Coal,0.002,
1994,E,"Waste collection, treatment and disposal services; materials recovery services",Coal,0.002,
1995,E,"Waste collection, treatment and disposal services; materials recovery services",Coal,0.003,
1996,E,"Waste collection, treatment and disposal services; materials recovery services",Coal,0.001,
1997,E,"Waste collection, treatment and disposal services; materials recovery services",Coal,0.002,
1998,E,"Waste collection, treatment and disposal services; materials recovery services",Coal,0.0,
1999,E,"Waste collection, treatment and disposal services; materials recovery services",Coal,0.0,
2000,E,"Waste collection, treatment and disposal services; materials recovery services",Coal,0.0,
2001,E,"Waste collection, treatment and disposal services; materials recovery services",Coal,0.0,
2002,E,"Waste collection, treatment and disposal services; materials recovery services",Coal,0.002,
2003,E,"Waste collection, treatment and disposal services; materials recovery services",Coal,0.0,
2004,E,"Waste collection, treatment and disposal services; materials recovery services",Coal,0.0,
2005,E,"Waste collection, treatment and disposal services; materials recovery services",Coal,0.0,
2006,E,"Waste collection, treatment and disposal services; materials recovery services",Coal,0.0,
2007,E,"Waste collection, treatment and disposal services; materials recovery services",Coal,0.0,
2008,E,"Waste collection, treatment and disposal services; materials recovery services",Coal,0.0,
2009,E,"Waste collection, treatment and disposal services; materials recovery services",Coal,0.0,
2010,E,"Waste collection, treatment and disposal services; materials recovery services",Coal,0.0,
2011,E,"Waste collection, treatment and disposal services; materials recovery services",Coal,0.0,
2012,E,"Waste collection, treatment and disposal services; materials recovery services",Coal,0.0,
2013,E,"Waste collection, treatment and disposal services; materials recovery services",Coal,0.0,
2014,E,"Waste collection, treatment and disposal services; materials recovery services",Coal,0.0,
2015,E,"Waste collection, treatment and disposal services; materials recovery services",Coal,0.0,
2016,E,"Waste collection, treatment and disposal services; materials recovery services",Coal,0.0,
2017,E,"Waste collection, treatment and disposal services; materials recovery services",Coal,0.0,
2018,E,"Waste collection, treatment and disposal services; materials recovery services",Coal,0.0,
2019,E,"Waste collection, treatment and disposal services; materials recovery services",Coal,0.0,
2020,E,"Waste collection, treatment and disposal services; materials recovery services",Coal,0.0,
2021,E,"Waste collection, treatment and disposal services; materials recovery services",Coal,0.0,
1990,E,Remediation services and other waste management services,Coal,0.0,
1991,E,Remediation services and other waste management services,Coal,0.0,
1992,E,Remediation services and other waste management services,Coal,0.0,
1993,E,Remediation services and other waste management services,Coal,0.0,
1994,E,Remediation services and other waste management services,Coal,0.0,
1995,E,Remediation services and other waste management services,Coal,0.0,
1996,E,Remediation services and other waste management services,Coal,0.0,
1997,E,Remediation services and other waste management services,Coal,0.0,
1998,E,Remediation services and other waste management services,Coal,0.0,
1999,E,Remediation services and other waste management services,Coal,0.0,
2000,E,Remediation services and other waste management services,Coal,0.0,
2001,E,Remediation services and other waste management services,Coal,0.0,
2002,E,Remediation services and other waste management services,Coal,0.0,
2003,E,Remediation services and other waste management services,Coal,0.0,
2004,E,Remediation services and other waste management services,Coal,0.0,
2005,E,Remediation services and other waste management services,Coal,0.0,
2006,E,Remediation services and other waste management services,Coal,0.0,
2007,E,Remediation services and other waste management services,Coal,0.0,
2008,E,Remediation services and other waste management services,Coal,0.0,
2009,E,Remediation services and other waste management services,Coal,0.0,
2010,E,Remediation services and other waste management services,Coal,0.0,
2011,E,Remediation services and other waste management services,Coal,0.0,
2012,E,Remediation services and other waste management services,Coal,0.0,
2013,E,Remediation services and other waste management services,Coal,0.0,
2014,E,Remediation services and other waste management services,Coal,0.0,
2015,E,Remediation services and other waste management services,Coal,0.0,
2016,E,Remediation services and other waste management services,Coal,0.0,
2017,E,Remediation services and other waste management services,Coal,0.0,
2018,E,Remediation services and other waste management services,Coal,0.0,
2019,E,Remediation services and other waste management services,Coal,0.0,
2020,E,Remediation services and other waste management services,Coal,0.0,
2021,E,Remediation services and other waste management services,Coal,0.0,
1990,F,Buildings and building construction works,Coal,0.0,
1991,F,Buildings and building construction works,Coal,0.0,
1992,F,Buildings and building construction works,Coal,0.0,
1993,F,Buildings and building construction works,Coal,0.0,
1994,F,Buildings and building construction works,Coal,0.0,
1995,F,Buildings and building construction works,Coal,0.0,
1996,F,Buildings and building construction works,Coal,0.0,
1997,F,Buildings and building construction works,Coal,0.0,
1998,F,Buildings and building construction works,Coal,0.0,
1999,F,Buildings and building construction works,Coal,0.0,
2000,F,Buildings and building construction works,Coal,0.0,
2001,F,Buildings and building construction works,Coal,0.0,
2002,F,Buildings and building construction works,Coal,0.0,
2003,F,Buildings and building construction works,Coal,0.0,
2004,F,Buildings and building construction works,Coal,0.0,
2005,F,Buildings and building construction works,Coal,0.0,
2006,F,Buildings and building construction works,Coal,0.0,
2007,F,Buildings and building construction works,Coal,0.0,
2008,F,Buildings and building construction works,Coal,0.0,
2009,F,Buildings and building construction works,Coal,0.0,
2010,F,Buildings and building construction works,Coal,0.0,
2011,F,Buildings and building construction works,Coal,0.0,
2012,F,Buildings and building construction works,Coal,0.0,
2013,F,Buildings and building construction works,Coal,0.0,
2014,F,Buildings and building construction works,Coal,0.0,
2015,F,Buildings and building construction works,Coal,0.0,
2016,F,Buildings and building construction works,Coal,0.0,
2017,F,Buildings and building construction works,Coal,0.0,
2018,F,Buildings and building construction works,Coal,0.0,
2019,F,Buildings and building construction works,Coal,0.0,
2020,F,Buildings and building construction works,Coal,0.0,
2021,F,Buildings and building construction works,Coal,0.0,
1990,F,Constructions and construction works for civil engineering,Coal,0.0,
1991,F,Constructions and construction works for civil engineering,Coal,0.0,
1992,F,Constructions and construction works for civil engineering,Coal,0.0,
1993,F,Constructions and construction works for civil engineering,Coal,0.0,
1994,F,Constructions and construction works for civil engineering,Coal,0.0,
1995,F,Constructions and construction works for civil engineering,Coal,0.0,
1996,F,Constructions and construction works for civil engineering,Coal,0.0,
1997,F,Constructions and construction works for civil engineering,Coal,0.0,
1998,F,Constructions and construction works for civil engineering,Coal,0.0,
1999,F,Constructions and construction works for civil engineering,Coal,0.0,
2000,F,Constructions and construction works for civil engineering,Coal,0.0,
2001,F,Constructions and construction works for civil engineering,Coal,0.0,
2002,F,Constructions and construction works for civil engineering,Coal,0.0,
2003,F,Constructions and construction works for civil engineering,Coal,0.0,
2004,F,Constructions and construction works for civil engineering,Coal,0.0,
2005,F,Constructions and construction works for civil engineering,Coal,0.0,
2006,F,Constructions and construction works for civil engineering,Coal,0.0,
2007,F,Constructions and construction works for civil engineering,Coal,0.0,
2008,F,Constructions and construction works for civil engineering,Coal,0.0,
2009,F,Constructions and construction works for civil engineering,Coal,0.0,
2010,F,Constructions and construction works for civil engineering,Coal,0.0,
2011,F,Constructions and construction works for civil engineering,Coal,0.0,
2012,F,Constructions and construction works for civil engineering,Coal,0.0,
2013,F,Constructions and construction works for civil engineering,Coal,0.0,
2014,F,Constructions and construction works for civil engineering,Coal,0.0,
2015,F,Constructions and construction works for civil engineering,Coal,0.0,
2016,F,Constructions and construction works for civil engineering,Coal,0.0,
2017,F,Constructions and construction works for civil engineering,Coal,0.0,
2018,F,Constructions and construction works for civil engineering,Coal,0.0,
2019,F,Constructions and construction works for civil engineering,Coal,0.0,
2020,F,Constructions and construction works for civil engineering,Coal,0.0,
2021,F,Constructions and construction works for civil engineering,Coal,0.0,
1990,F,Specialised construction works,Coal,0.0,
1991,F,Specialised construction works,Coal,0.0,
1992,F,Specialised construction works,Coal,0.0,
1993,F,Specialised construction works,Coal,0.0,
1994,F,Specialised construction works,Coal,0.0,
1995,F,Specialised construction works,Coal,0.0,
1996,F,Specialised construction works,Coal,0.0,
1997,F,Specialised construction works,Coal,0.0,
1998,F,Specialised construction works,Coal,0.0,
1999,F,Specialised construction works,Coal,0.0,
2000,F,Specialised construction works,Coal,0.0,
2001,F,Specialised construction works,Coal,0.0,
2002,F,Specialised construction works,Coal,0.0,
2003,F,Specialised construction works,Coal,0.0,
2004,F,Specialised construction works,Coal,0.0,
2005,F,Specialised construction works,Coal,0.0,
2006,F,Specialised construction works,Coal,0.0,
2007,F,Specialised construction works,Coal,0.0,
2008,F,Specialised construction works,Coal,0.0,
2009,F,Specialised construction works,Coal,0.0,
2010,F,Specialised construction works,Coal,0.0,
2011,F,Specialised construction works,Coal,0.0,
2012,F,Specialised construction works,Coal,0.0,
2013,F,Specialised construction works,Coal,0.0,
2014,F,Specialised construction works,Coal,0.0,
2015,F,Specialised construction works,Coal,0.0,
2016,F,Specialised construction works,Coal,0.0,
2017,F,Specialised construction works,Coal,0.0,
2018,F,Specialised construction works,Coal,0.0,
2019,F,Specialised construction works,Coal,0.0,
2020,F,Specialised construction works,Coal,0.0,
2021,F,Specialised construction works,Coal,0.0,
1990,G,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Coal,0.0,
1991,G,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Coal,0.0,
1992,G,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Coal,0.0,
1993,G,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Coal,0.0,
1994,G,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Coal,0.0,
1995,G,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Coal,0.0,
1996,G,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Coal,0.0,
1997,G,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Coal,0.0,
1998,G,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Coal,0.0,
1999,G,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Coal,0.0,
2000,G,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Coal,0.0,
2001,G,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Coal,0.0,
2002,G,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Coal,0.0,
2003,G,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Coal,0.0,
2004,G,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Coal,0.0,
2005,G,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Coal,0.0,
2006,G,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Coal,0.0,
2007,G,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Coal,0.0,
2008,G,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Coal,0.0,
2009,G,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Coal,0.0,
2010,G,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Coal,0.0,
2011,G,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Coal,0.0,
2012,G,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Coal,0.0,
2013,G,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Coal,0.0,
2014,G,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Coal,0.0,
2015,G,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Coal,0.0,
2016,G,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Coal,0.0,
2017,G,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Coal,0.0,
2018,G,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Coal,0.0,
2019,G,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Coal,0.0,
2020,G,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Coal,0.0,
2021,G,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Coal,0.0,
1990,G,"Wholesale trade services, except of motor vehicles and motorcycles",Coal,0.0,
1991,G,"Wholesale trade services, except of motor vehicles and motorcycles",Coal,0.0,
1992,G,"Wholesale trade services, except of motor vehicles and motorcycles",Coal,0.0,
1993,G,"Wholesale trade services, except of motor vehicles and motorcycles",Coal,0.0,
1994,G,"Wholesale trade services, except of motor vehicles and motorcycles",Coal,0.0,
1995,G,"Wholesale trade services, except of motor vehicles and motorcycles",Coal,0.0,
1996,G,"Wholesale trade services, except of motor vehicles and motorcycles",Coal,0.0,
1997,G,"Wholesale trade services, except of motor vehicles and motorcycles",Coal,0.0,
1998,G,"Wholesale trade services, except of motor vehicles and motorcycles",Coal,0.0,
1999,G,"Wholesale trade services, except of motor vehicles and motorcycles",Coal,0.0,
2000,G,"Wholesale trade services, except of motor vehicles and motorcycles",Coal,0.0,
2001,G,"Wholesale trade services, except of motor vehicles and motorcycles",Coal,0.0,
2002,G,"Wholesale trade services, except of motor vehicles and motorcycles",Coal,0.0,
2003,G,"Wholesale trade services, except of motor vehicles and motorcycles",Coal,0.0,
2004,G,"Wholesale trade services, except of motor vehicles and motorcycles",Coal,0.0,
2005,G,"Wholesale trade services, except of motor vehicles and motorcycles",Coal,0.0,
2006,G,"Wholesale trade services, except of motor vehicles and motorcycles",Coal,0.0,
2007,G,"Wholesale trade services, except of motor vehicles and motorcycles",Coal,0.0,
2008,G,"Wholesale trade services, except of motor vehicles and motorcycles",Coal,0.0,
2009,G,"Wholesale trade services, except of motor vehicles and motorcycles",Coal,0.0,
2010,G,"Wholesale trade services, except of motor vehicles and motorcycles",Coal,0.0,
2011,G,"Wholesale trade services, except of motor vehicles and motorcycles",Coal,0.0,
2012,G,"Wholesale trade services, except of motor vehicles and motorcycles",Coal,0.0,
2013,G,"Wholesale trade services, except of motor vehicles and motorcycles",Coal,0.0,
2014,G,"Wholesale trade services, except of motor vehicles and motorcycles",Coal,0.0,
2015,G,"Wholesale trade services, except of motor vehicles and motorcycles",Coal,0.0,
2016,G,"Wholesale trade services, except of motor vehicles and motorcycles",Coal,0.0,
2017,G,"Wholesale trade services, except of motor vehicles and motorcycles",Coal,0.0,
2018,G,"Wholesale trade services, except of motor vehicles and motorcycles",Coal,0.0,
2019,G,"Wholesale trade services, except of motor vehicles and motorcycles",Coal,0.0,
2020,G,"Wholesale trade services, except of motor vehicles and motorcycles",Coal,0.0,
2021,G,"Wholesale trade services, except of motor vehicles and motorcycles",Coal,0.0,
1990,G,"Retail trade services, except of motor vehicles and motorcycles",Coal,0.0,
1991,G,"Retail trade services, except of motor vehicles and motorcycles",Coal,0.0,
1992,G,"Retail trade services, except of motor vehicles and motorcycles",Coal,0.0,
1993,G,"Retail trade services, except of motor vehicles and motorcycles",Coal,0.0,
1994,G,"Retail trade services, except of motor vehicles and motorcycles",Coal,0.0,
1995,G,"Retail trade services, except of motor vehicles and motorcycles",Coal,0.0,
1996,G,"Retail trade services, except of motor vehicles and motorcycles",Coal,0.0,
1997,G,"Retail trade services, except of motor vehicles and motorcycles",Coal,0.0,
1998,G,"Retail trade services, except of motor vehicles and motorcycles",Coal,0.0,
1999,G,"Retail trade services, except of motor vehicles and motorcycles",Coal,0.0,
2000,G,"Retail trade services, except of motor vehicles and motorcycles",Coal,0.0,
2001,G,"Retail trade services, except of motor vehicles and motorcycles",Coal,0.0,
2002,G,"Retail trade services, except of motor vehicles and motorcycles",Coal,0.0,
2003,G,"Retail trade services, except of motor vehicles and motorcycles",Coal,0.0,
2004,G,"Retail trade services, except of motor vehicles and motorcycles",Coal,0.0,
2005,G,"Retail trade services, except of motor vehicles and motorcycles",Coal,0.0,
2006,G,"Retail trade services, except of motor vehicles and motorcycles",Coal,0.0,
2007,G,"Retail trade services, except of motor vehicles and motorcycles",Coal,0.0,
2008,G,"Retail trade services, except of motor vehicles and motorcycles",Coal,0.0,
2009,G,"Retail trade services, except of motor vehicles and motorcycles",Coal,0.0,
2010,G,"Retail trade services, except of motor vehicles and motorcycles",Coal,0.0,
2011,G,"Retail trade services, except of motor vehicles and motorcycles",Coal,0.0,
2012,G,"Retail trade services, except of motor vehicles and motorcycles",Coal,0.0,
2013,G,"Retail trade services, except of motor vehicles and motorcycles",Coal,0.0,
2014,G,"Retail trade services, except of motor vehicles and motorcycles",Coal,0.0,
2015,G,"Retail trade services, except of motor vehicles and motorcycles",Coal,0.0,
2016,G,"Retail trade services, except of motor vehicles and motorcycles",Coal,0.0,
2017,G,"Retail trade services, except of motor vehicles and motorcycles",Coal,0.0,
2018,G,"Retail trade services, except of motor vehicles and motorcycles",Coal,0.0,
2019,G,"Retail trade services, except of motor vehicles and motorcycles",Coal,0.0,
2020,G,"Retail trade services, except of motor vehicles and motorcycles",Coal,0.0,
2021,G,"Retail trade services, except of motor vehicles and motorcycles",Coal,0.0,
1990,H,Rail transport,Coal,0.0,
1991,H,Rail transport,Coal,0.0,
1992,H,Rail transport,Coal,0.0,
1993,H,Rail transport,Coal,0.0,
1994,H,Rail transport,Coal,0.0,
1995,H,Rail transport,Coal,0.0,
1996,H,Rail transport,Coal,0.0,
1997,H,Rail transport,Coal,0.0,
1998,H,Rail transport,Coal,0.0,
1999,H,Rail transport,Coal,0.0,
2000,H,Rail transport,Coal,0.0,
2001,H,Rail transport,Coal,0.0,
2002,H,Rail transport,Coal,0.0,
2003,H,Rail transport,Coal,0.0,
2004,H,Rail transport,Coal,0.0,
2005,H,Rail transport,Coal,0.003,
2006,H,Rail transport,Coal,0.014,
2007,H,Rail transport,Coal,0.014,
2008,H,Rail transport,Coal,0.014,
2009,H,Rail transport,Coal,0.013,
2010,H,Rail transport,Coal,0.014,
2011,H,Rail transport,Coal,0.011,
2012,H,Rail transport,Coal,0.012,
2013,H,Rail transport,Coal,0.01,
2014,H,Rail transport,Coal,0.009,
2015,H,Rail transport,Coal,0.009,
2016,H,Rail transport,Coal,0.011,
2017,H,Rail transport,Coal,0.011,
2018,H,Rail transport,Coal,0.011,
2019,H,Rail transport,Coal,0.011,
2020,H,Rail transport,Coal,0.009,
2021,H,Rail transport,Coal,0.01,
1990,H,"Buses, coaches, trams and similar public urban transport n.e.c",Coal,0.001,
1991,H,"Buses, coaches, trams and similar public urban transport n.e.c",Coal,0.001,
1992,H,"Buses, coaches, trams and similar public urban transport n.e.c",Coal,0.0,
1993,H,"Buses, coaches, trams and similar public urban transport n.e.c",Coal,0.0,
1994,H,"Buses, coaches, trams and similar public urban transport n.e.c",Coal,0.0,
1995,H,"Buses, coaches, trams and similar public urban transport n.e.c",Coal,0.0,
1996,H,"Buses, coaches, trams and similar public urban transport n.e.c",Coal,0.0,
1997,H,"Buses, coaches, trams and similar public urban transport n.e.c",Coal,0.0,
1998,H,"Buses, coaches, trams and similar public urban transport n.e.c",Coal,0.0,
1999,H,"Buses, coaches, trams and similar public urban transport n.e.c",Coal,0.0,
2000,H,"Buses, coaches, trams and similar public urban transport n.e.c",Coal,0.0,
2001,H,"Buses, coaches, trams and similar public urban transport n.e.c",Coal,0.0,
2002,H,"Buses, coaches, trams and similar public urban transport n.e.c",Coal,0.0,
2003,H,"Buses, coaches, trams and similar public urban transport n.e.c",Coal,0.0,
2004,H,"Buses, coaches, trams and similar public urban transport n.e.c",Coal,0.0,
2005,H,"Buses, coaches, trams and similar public urban transport n.e.c",Coal,0.0,
2006,H,"Buses, coaches, trams and similar public urban transport n.e.c",Coal,0.0,
2007,H,"Buses, coaches, trams and similar public urban transport n.e.c",Coal,0.0,
2008,H,"Buses, coaches, trams and similar public urban transport n.e.c",Coal,0.0,
2009,H,"Buses, coaches, trams and similar public urban transport n.e.c",Coal,0.0,
2010,H,"Buses, coaches, trams and similar public urban transport n.e.c",Coal,0.0,
2011,H,"Buses, coaches, trams and similar public urban transport n.e.c",Coal,0.0,
2012,H,"Buses, coaches, trams and similar public urban transport n.e.c",Coal,0.0,
2013,H,"Buses, coaches, trams and similar public urban transport n.e.c",Coal,0.0,
2014,H,"Buses, coaches, trams and similar public urban transport n.e.c",Coal,0.0,
2015,H,"Buses, coaches, trams and similar public urban transport n.e.c",Coal,0.0,
2016,H,"Buses, coaches, trams and similar public urban transport n.e.c",Coal,0.0,
2017,H,"Buses, coaches, trams and similar public urban transport n.e.c",Coal,0.0,
2018,H,"Buses, coaches, trams and similar public urban transport n.e.c",Coal,0.0,
2019,H,"Buses, coaches, trams and similar public urban transport n.e.c",Coal,0.0,
2020,H,"Buses, coaches, trams and similar public urban transport n.e.c",Coal,0.0,
2021,H,"Buses, coaches, trams and similar public urban transport n.e.c",Coal,0.0,
1990,H,"Underground, metro other non interurban rail services",Coal,0.0,
1991,H,"Underground, metro other non interurban rail services",Coal,0.0,
1992,H,"Underground, metro other non interurban rail services",Coal,0.0,
1993,H,"Underground, metro other non interurban rail services",Coal,0.0,
1994,H,"Underground, metro other non interurban rail services",Coal,0.0,
1995,H,"Underground, metro other non interurban rail services",Coal,0.0,
1996,H,"Underground, metro other non interurban rail services",Coal,0.0,
1997,H,"Underground, metro other non interurban rail services",Coal,0.0,
1998,H,"Underground, metro other non interurban rail services",Coal,0.0,
1999,H,"Underground, metro other non interurban rail services",Coal,0.0,
2000,H,"Underground, metro other non interurban rail services",Coal,0.0,
2001,H,"Underground, metro other non interurban rail services",Coal,0.0,
2002,H,"Underground, metro other non interurban rail services",Coal,0.0,
2003,H,"Underground, metro other non interurban rail services",Coal,0.0,
2004,H,"Underground, metro other non interurban rail services",Coal,0.0,
2005,H,"Underground, metro other non interurban rail services",Coal,0.0,
2006,H,"Underground, metro other non interurban rail services",Coal,0.0,
2007,H,"Underground, metro other non interurban rail services",Coal,0.0,
2008,H,"Underground, metro other non interurban rail services",Coal,0.0,
2009,H,"Underground, metro other non interurban rail services",Coal,0.0,
2010,H,"Underground, metro other non interurban rail services",Coal,0.0,
2011,H,"Underground, metro other non interurban rail services",Coal,0.0,
